code;description_eng;description_fr
1009;Isolation damaged after overmoulding;Isolant détérioré après surmoulage
1100;Default of aspect : surface, tinplating;Défaut d'aspect : surface, étamage.
1101;Default of aspect : crack , scratch;Défaut d'aspect : fissures, rayures
1102;Locking side not conform;Ergot de verrouillage non-conforme.
1103;Bent connexion;Connexion déformée.
1104;Reel bent;Rouleau / bobine déformée.
1105;Dimension out of tolerance;Cote hors tolérance.
1106;Unreeling direction incorrect;Inversion sens d'enroulement.
1107;Difficult unreeling;Difficulté de déroulement.
1108;Problem on flask;Problème de flasque.
1109;Connexion breaking during crimping;Connexion cassante lors du sertissage.
1200;Colour not conform;Couleur non-conforme.
1201;Broken component;Composant cassé.
1202;Distorted components , dimension out of tolerance;Composant déformé, cote hors tolérance.
1203;Missing raw material, hole;Manque matière première, trous.
1204;Flash , excess of material;Excès matière, bavures.
1205;Missing element , bad assembly , not adequate;Elément absent, mauvais assemblage, inadéquat.
1206;Breaking of part while assembling;Casse durant l'assemblage
1207;Difficult or impossible insertion of clip;Insertion clip ou languette difficile ou impossible.
1208;Locking default;Défaut de verrouillage.
1209;Closure of covers or mating part difficult or impossible;Fermeture (couvercle, contreparties) difficile ou impossible.
1210;Electrical control or bad / impossible waterproofing;Contrôle électrique ou étanchéité difficile ou impossible.
1211;Bad positioning or bad retention of components with mating parts;Mauvaise position ou rétention des éléments en contact
1300;Missing raw material;Manque matière première
1301;Aspect, burnings, flashes, distortion;Aspect, brûlures, bavures, déformations
1302;Dimension out of tolerance;Cote hors tolérance.
1303;Missing sub-elements (nut , tie-wrap ...);Manque sous-élément (lanière, écrou...).
1304;Broken , cut or torn protection;Protection composant cassé, coupé ou déchiré.
1305;Wrong cutting of tube;Coupe composant non-conforme.
1306;Breaking of protection during use;Casse de la protection durant l'utilisation
1307;Difficult or impossible use of components;Usage du composant difficile ou impossible
1308;Adhesivity not conform;Adhésivité non-conforme.
1400;Raw material Certificate not correct (copper);Certificat matière première non-conforme (cuivre)
1401;Oxydated copper;Cuivre oxydé.
1402;Slacking wire strands (copper);Brins de cuivre détendus
1403;Inversion of reels on palett (copper);Bobines inversées sur palette (cuivre)
1404;Certificate of conformity not correct  (compound for colouring);Certificat de conformité non-conforme
1405;Wrong colour  (compound for colouring);Mauvaise couleur
1406;Granulometry not correct (compound for colouring);Granulométrie non-conforme.
1500;All various defects;Autres défauts divers.
1501;Function of electronic component not operating;Fonction de composant électronique non assurée.
1600;Wrong dimension;Dimension non-conforme.
1601;Bad printing on packaging;Impression sur conditionnement non-conforme.
1602;Folding, sticking, soldering, stapling not conform;Pliage, collage, soudure, agrafage non-conforme.
1603;Damaged packaging;Conditionnement détérioré.
1700;Error of label;Erreur d'identification.
1701;Mixed parts;Mélange de références.
1702;Tangled wires or harnesses;Fils / faisceaux emmêlés.
1703;Missing plastic material /housing;Manque composant sur faisceau.
1704;Wrong orientation;Mauvaise orientation / Géométrie du faisceau non-conforme.
1705;Connection out of housing;Absence verrouillage du contact dans son boîtier.
1706;Damaged isolation on wire;Isolant endommagé sur le fil.
1707;Error of position;Erreur de position
